shape_id,county_name,precinct_id,sen_red,sen_blue,con_any_districts,con_red_votes,con_blue_votes,sldu_districts,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2
650,UNION,015,1092,602,9,1295,,35,1263,,69,1232,,6186,4731,477,111,577,290,50,87559,3845,333,1114,2076,322,9
649,UNION,016,1101,514,8,1194,462,35,1248,,69,1192,,6882,5547,586,120,515,114,51,87652,4525,329,1541,2266,389,19
655,UNION,017A,869,398,9,992,,35,981,,68069,513,,3750,2857,387,86,369,50,21,56348,2215,152,652,1165,247,11
2604,UNION,017B,1288,480,9,1405,,35,1427,,68,1390,,5710,4489,374,124,645,78,33,117765,3284,117,637,2068,463,19
2605,UNION,018,993,330,9,1047,,35,1030,,68,989,,2843,2566,46,87,126,18,17,48668,1842,26,252,1272,291,12
669,UNION,019,1303,636,9,1522,,35,1489,,55068,1215,134,5304,4564,371,10,260,99,45,80456,3392,242,1057,1847,246,42
654,UNION,020A,798,544,9,965,,35,951,,68,922,,5258,4087,686,80,313,92,41,83123,3182,197,811,1831,343,17
638,UNION,020B,985,419,9,1087,,35,1090,,68,1069,,5239,4477,147,76,461,78,57,153959,3104,192,600,1801,513,23
637,UNION,021,698,228,809,705,21,35,780,,55,729,228,3721,3115,294,19,180,113,27,38129,2470,229,1010,1116,115,73
2233,UNION,022,1048,144,9,1102,,35,1074,,55,1072,142,2508,2264,142,45,24,32,24,32169,1749,58,613,942,137,45
672,UNION,023,620,311,8,698,248,35,729,,55,621,314,5682,2932,1257,4,1308,182,49,62513,3609,817,1197,1417,178,31
643,UNION,024,673,216,8,733,163,35,754,,55,707,194,4062,3305,336,11,230,181,26,38683,2698,322,1169,1099,107,108
642,UNION,025,512,244,8,567,203,35,578,,55,503,268,4533,2444,1028,3,998,60,37,41562,2892,766,1170,820,136,71
644,UNION,026,506,176,8,558,155,35,567,,55,475,237,3275,2599,356,6,192,122,27,32774,2329,414,1038,819,57,130
2590,UNION,027,586,190,8,637,159,35,631,,55,530,282,5037,3092,1340,9,537,59,41,46874,3412,688,1559,1043,122,114
2589,UNION,028A,1329,614,9,1514,,35,1487,,68,1460,,5962,4425,549,426,468,94,39,143150,3423,101,360,2227,735,16
2394,UNION,028B,1087,364,9,1170,,35,1135,,68,1135,,4100,3134,251,415,187,114,24,105536,2269,21,201,1358,689,9
2587,UNION,028C,1046,386,9,1148,,35,1128,,68,1111,,4351,3601,182,303,188,78,27,107305,2433,25,235,1567,607,8
2311,UNION,028D,1077,548,9,1242,,35,1216,,68,1189,,4949,3666,478,341,389,75,30,106678,2849,93,321,1851,584,13
656,UNION,029A,849,770,9,1089,,35,1075,,68069,939,,4129,2737,932,91,332,37,23,53317,2454,124,694,1254,382,6
685,UNION,029B,490,259,9,586,,35,577,,68,562,,1235,1041,111,20,19,44,11,18389,784,53,199,451,82,3
639,UNION,029C,568,256,9,685,,35,662,,68069,345,,4102,3425,359,64,141,114,33,61911,2586,149,686,1452,299,8
648,UNION,030,1037,657,8,1133,571,35,1224,,69,1181,,4571,2769,734,105,853,112,25,37635,2913,467,1023,1213,209,14
640,UNION,031,707,475,809,682,80,35,845,,68,810,,5476,3950,526,196,657,147,35,60091,3473,459,1373,1491,150,23
645,UNION,032,1012,382,8,1080,337,36,1114,,55069,565,145,4350,3609,128,113,379,121,47,91576,3033,347,968,1410,309,40
2234,UNION,033,725,315,9,804,,35,778,,55,739,302,3669,3386,161,38,70,14,46,64702,2504,142,839,1308,215,45
677,UNION,034,915,417,8,1020,334,35,1083,,55,895,472,7040,3137,1840,39,1945,79,37,57911,3770,902,1370,1340,158,68
652,UNION,035,658,292,809,707,19,36,729,,69,725,,2536,2324,82,15,74,41,48,88143,1748,50,474,1105,118,5
2591,UNION,036,532,258,8,582,217,35,581,,55,454,360,4454,3118,879,39,381,37,29,37843,2917,440,1274,1086,117,112
671,UNION,037A,946,627,809,1104,15,35,1097,,69,1051,,7015,5318,827,99,605,166,46,85219,4388,328,1207,2392,460,12
684,UNION,037B,604,182,9,667,,36,636,,69,624,,2131,1663,218,27,171,53,13,28457,1299,68,266,771,194,2
668,UNION,038A,650,441,8,713,410,35,776,,69,759,,5248,3287,846,29,941,145,27,44199,3056,385,908,1507,256,10
657,UNION,038B,651,363,8,717,307,35,780,,69,760,,1112,848,106,16,121,21,7,10268,723,77,206,386,55,2
681,UNION,039,634,182,8,670,162,35,667,,69,657,,4606,3707,371,74,378,77,28,46444,2912,281,1104,1315,211,36
646,UNION,040,1226,449,9,1353,,35,1322,,68069,918,,5071,4533,242,71,168,57,39,87516,3239,103,877,1825,434,12
2606,UNION,041,1123,396,9,1214,,35,1196,,68,1170,,7681,6708,208,345,340,80,46,157627,4638,60,552,3138,888,23
673,UNION,042,390,259,809,307,194,35,470,,68,446,,3179,2182,368,53,487,89,21,33863,2130,345,858,840,87,12
667,UNION,043,56,314,8,73,298,35,108,,69,97,,1589,617,398,21,498,54,8,8470,944,265,354,290,36,3
2638,VANCE,CC,696,587,113,510,548,4,708,562,32,,937,3400,1808,1384,2,148,58,27,30673,2425,229,1085,966,145,72
2178,VANCE,EH1,57,800,1,61,800,4,63,797,32,,831,2511,199,2136,1,98,77,17,11350,1261,483,483,283,12,3
2176,VANCE,HTOP,98,269,1,100,273,4,107,267,32,,327,1997,1028,830,36,62,41,24,18637,1317,259,555,434,70,16
1863,VANCE,KITT,868,847,13,874,843,4,848,845,32,,1227,5871,3387,1979,0,272,232,35,43188,3617,689,1797,1119,12,124
2173,VANCE,MIDD,543,913,1,542,943,4,560,897,32,,1163,4079,1872,1873,0,327,7,39,37284,2902,501,1233,1017,151,101
2640,VANCE,NH,612,1036,1,604,1061,4,636,1013,32,,1284,5206,2238,2736,0,158,74,52,56323,3843,732,1716,1228,167,188
2177,VANCE,NH1,75,816,1,78,805,4,81,788,32,,845,2670,520,2090,7,49,4,27,11626,1935,669,822,426,18,4
2647,VANCE,NV,193,384,1,183,394,4,194,376,32,,462,2425,748,1409,8,223,36,41,27871,1594,452,625,476,42,27
2174,VANCE,SCRK,708,994,13,715,969,4,684,998,32,,1325,7936,3401,2727,16,1570,222,35,30143,5013,1499,2239,1229,46,87
2172,VANCE,SH1,151,668,1,145,684,4,164,652,32,,737,2398,393,1850,10,85,60,20,12932,1317,452,519,319,27,4
2175,VANCE,SH2,81,218,1,71,232,4,81,220,32,,252,1273,401,715,1,134,22,20,11088,768,273,324,169,2,9
2639,VANCE,WH,949,993,1,876,1093,4,964,975,32,,1509,5151,2497,2424,124,52,54,53,41248,3728,670,1514,1283,262,21
1161,WAKE,01-01,191,562,4,195,575,16,186,576,34,,622,2659,2186,139,130,90,114,15,27288,1469,93,146,765,465,1
1162,WAKE,01-02,254,589,413,222,567,16,231,622,34,,660,2646,2098,170,145,99,135,17,32173,1474,101,169,757,446,2
1163,WAKE,01-03,525,496,13,592,445,15,534,502,49,560,469,2670,2500,56,30,33,50,22,54354,1760,70,108,1010,572,2
1164,WAKE,01-04,283,339,13,325,311,15,301,330,49,301,318,1267,1235,15,1,6,10,11,29915,878,28,46,517,288,1
1165,WAKE,01-05,282,308,13,334,260,15,290,308,34,,373,1476,1441,17,0,7,11,13,34427,1021,33,51,602,335,1
1181,WAKE,01-06,296,675,4,299,692,16,264,713,34,,757,3660,2922,470,161,64,44,42,53113,2694,220,367,1379,729,2
2709,WAKE,01-07,162,519,4,161,536,16,147,547,34,,571,2680,2021,432,119,76,33,27,35547,1935,197,290,952,496,1
2710,WAKE,01-07A,9,127,4,11,133,16,10,125,34,,122,38,29,8,1,0,0,1,586,35,4,6,17,8,0
1182,WAKE,01-09,159,470,4,165,480,16,151,481,34,,502,959,796,133,3,20,7,7,13772,762,19,142,420,181,1
1183,WAKE,01-10,344,496,4,312,535,15,332,518,34,,610,1029,934,68,4,12,12,11,34354,767,10,88,432,237,1
1184,WAKE,01-11,714,380,13,777,322,15,675,428,49,742,346,3235,3049,65,13,60,48,45,145003,2278,37,110,1344,786,5
963,WAKE,01-12,281,443,4,276,463,15,303,438,34,,516,3130,2396,426,14,240,54,23,41559,2379,104,468,1263,544,3
964,WAKE,01-13,146,552,4,151,554,1416,123,495,34038,44,421,3519,2426,936,50,81,27,33,46522,2689,316,615,1297,460,3
965,WAKE,01-14,249,1028,4,252,1048,1416,205,972,33034038,18,904,4636,2837,1513,83,138,66,56,98029,3224,408,738,1461,618,4
966,WAKE,01-15,318,343,13,352,323,15,308,365,49,342,331,2318,1812,311,66,104,26,27,37135,1810,88,345,1048,330,2
967,WAKE,01-16,396,677,413,290,596,16,341,717,34,,770,4293,3207,384,130,514,57,36,56069,3071,350,535,1523,663,5
968,WAKE,01-17,243,205,13,266,196,15,255,207,49,264,194,1279,1131,71,10,0,66,17,45080,880,16,80,570,214,1
969,WAKE,01-18,451,645,413,517,600,1415,381,418,34,,766,3835,1936,504,41,1136,218,22,28956,2402,341,614,1017,430,5
970,WAKE,01-19,22,543,4,20,547,14,,553,38,20,539,3850,254,2601,75,915,6,25,22884,2246,633,793,727,93,3
971,WAKE,01-20,33,589,4,34,597,14,,598,33,35,597,4388,782,2980,34,508,83,40,38297,2896,449,940,1185,321,3
972,WAKE,01-21,352,826,413,360,850,1416,331,814,33,338,853,7074,2632,2494,217,1543,188,25,28767,4818,965,1436,2006,412,10
973,WAKE,01-22,44,1014,4,43,1040,14,,1047,33,39,1040,5786,448,4415,20,768,135,26,36803,3348,563,907,1612,268,6
974,WAKE,01-23,381,837,4,401,856,1416,384,856,33,354,872,12764,8290,2503,1007,611,353,63,80804,4287,576,967,2021,723,7
975,WAKE,01-25,2,69,4,3,68,14,,67,33,2,69,1183,203,852,1,87,40,9,6815,551,147,215,162,27,1
1044,WAKE,01-26,33,516,4,28,527,14,,513,33,32,523,4605,993,2867,22,609,114,36,25234,3040,815,1175,924,126,3
1045,WAKE,01-27,89,517,4,90,532,1416,38,297,33034,53,304,4207,2452,1012,163,484,97,34,43728,2963,403,673,1399,489,4
1046,WAKE,01-28,184,1120,4,171,1159,1416,48,1114,34038,155,1044,7240,2026,3660,269,1208,77,52,58934,4802,822,1635,2009,337,7
1047,WAKE,01-29,642,545,13,713,488,15,623,577,49,646,533,2467,2189,73,125,22,59,38,77199,1725,39,196,943,546,3
1048,WAKE,01-30,316,334,13,356,308,15,312,355,49,340,321,1563,1382,87,13,1,81,21,55100,1076,19,98,697,261,2
1049,WAKE,01-31,209,703,4,221,731,16,212,731,11033,192,481,10416,5877,2389,1016,861,273,63,77698,3824,520,833,1769,701,4
1050,WAKE,01-32,276,553,4,275,589,16,265,588,11,317,533,3510,1835,869,167,515,124,19,25328,2205,254,438,1153,361,3
1051,WAKE,01-33,294,466,413,227,387,16,234,518,34,,530,2294,1918,67,226,28,55,33,69017,1529,50,195,816,468,2
1052,WAKE,01-34,15,489,4,17,487,14,,481,38,22,478,3254,992,2093,45,57,68,19,25340,1521,187,557,532,245,1
1053,WAKE,01-35,14,557,4,10,574,14,,568,33,11,566,5602,816,3903,58,619,206,34,25486,3498,836,1315,1183,164,4
