Race,District,Winner,Dem?,Rep?,Other?,Dem Votes,Rep Votes,Other Votes,year,chamber,district_id,is_contested
State House 2014,District 116,Democratic,Yes,Yes,No,13298,12321,,2014,sldl,116,Yes
State House 2014,District 117,Republican,No,Yes,Yes,,17292,5838,2014,sldl,117,No
State House 2014,District 118,Republican,Yes,Yes,No,13169,13858,,2014,sldl,118,Yes
State House 2014,District 119,Democratic,Yes,Yes,No,11777,10623,,2014,sldl,119,Yes
State House 2014,District 120,Republican,No,Yes,No,,,,2014,sldl,120,No
State Senate 2014,District 1,Republican,Yes,Yes,No,27957,32143,,2014,sldu,01,Yes
State Senate 2014,District 2,Republican,Yes,Yes,No,23925,36562,,2014,sldu,02,Yes
State Senate 2014,District 3,Democratic,Yes,No,No,,,,2014,sldu,03,No
State Senate 2014,District 4,Democratic,Yes,Yes,No,37590,19796,,2014,sldu,04,Yes
State Senate 2014,District 5,Democratic,Yes,No,No,,,,2014,sldu,05,No
State Senate 2014,District 6,Republican,No,Yes,No,,,,2014,sldu,06,No
State Senate 2014,District 7,Republican,Yes,Yes,No,16924,37323,,2014,sldu,07,Yes
State Senate 2014,District 8,Republican,Yes,Yes,No,29707,39402,,2014,sldu,08,Yes
State Senate 2014,District 9,Republican,Yes,Yes,No,28637,35517,,2014,sldu,09,Yes
State Senate 2014,District 10,Republican,Yes,Yes,No,18779,31239,,2014,sldu,10,Yes
State Senate 2014,District 11,Republican,No,Yes,No,,,,2014,sldu,11,No
State Senate 2014,District 12,Republican,Yes,Yes,No,21169,26903,,2014,sldu,12,Yes
State Senate 2014,District 13,Democratic,Yes,Yes,No,24076,14276,,2014,sldu,13,Yes
State Senate 2014,District 14,Democratic,Yes,No,No,,,,2014,sldu,14,No
State Senate 2014,District 15,Republican,Yes,Yes,No,40665,41366,,2014,sldu,15,Yes
State Senate 2014,District 16,Democratic,Yes,Yes,No,42422,20791,,2014,sldu,16,Yes
State Senate 2014,District 17,Republican,Yes,Yes,No,31476,44292,,2014,sldu,17,Yes
State Senate 2014,District 18,Republican,Yes,Yes,No,30861,34646,,2014,sldu,18,Yes
